Age,new_mortality,average_mortality_reduction,old_mortality,new_mortality_20_years_future,survival_rate,lx
39,0.00100856637941995,1.21433620580051e-4,0.00113,0.00100611972578576,0.9989914336205801,0.9803116576967287
40,0.00109602311263567,1.29976887364326e-4,0.001226,0.00109317747451931,0.9989039768873643,0.9792372134623069
41,0.00119691608318818,1.40083916811824e-4,0.001337,0.00119356716823954,0.9988030839168118,0.9780651486922575
42,0.00129594747258766,1.51052527412341e-4,0.001447,0.00129203796287389,0.9987040525274123,0.9767976276347836
43,0.0014106627901354,1.62337209864605e-4,0.001573,0.00140608978541846,0.9985893372098646,0.9754196955679867
44,0.00153215042708649,1.76849572913511e-4,0.001709,0.00152674031910489,0.9984678495729135,0.9739252058648336
45,0.00169907265412979,1.57927345870211e-4,0.001857,0.00169371409737493,0.9983009273458702,0.9722704361803809
46,0.00184512684539488,1.68873154605121e-4,0.002014,0.0018389049851736,0.9981548731546052,0.9704764738976007
47,0.00201610882301309,1.82891176986907e-4,0.002199,0.00200874705171866,0.9979838911769869,0.9685198877160491
48,0.00221254530785524,1.98454692144756e-4,0.002411,0.00220378004469841,0.9977874546921448,0.9663769935829185
49,0.00241862779702168,2.1637220297832e-4,0.002635,0.00240818280684282,0.9975813722029783,0.9640396873238366
50,0.00264141192032923,2.39588079670771e-4,0.002881,0.00262878367123309,0.9973585880796708,0.961493261402069
51,0.00288496406761717,2.60035932382827e-4,0.003145,0.00286999718814896,0.9971150359323828,0.958719387891668
52,0.00316265454038232,2.86345459617675e-4,0.003449,0.00314459149086099,0.9968373454596177,0.9556872896665999
53,0.0034822676896539,3.127323103461e-4,0.003795,0.00346055192448921,0.9965177323103461,0.952359330696381
54,0.0038343592061915,3.43640793808496e-4,0.004178,0.00380809221540902,0.9961656407938085,0.948707642929123
55,0.00423597711637556,3.77022883624437e-4,0.004613,0.00420415005621735,0.9957640228836244,0.9446889390635447
56,0.0046903405085065,4.15659491493503e-4,0.005106,0.00465150240320923,0.9953096594914935,0.9402580262647169
57,0.00516457483483127,4.55425165168731e-4,0.00562,0.00511773625990514,0.9948354251651688,0.9354019933240221
58,0.00567086102238202,4.99138977617981e-4,0.00617,0.00561451770367314,0.994329138977618,0.9300974586198224
59,0.00622885101304101,5.47148986958989e-4,0.006776,0.00616104196347109,0.993771148986959,0.9243040201224714
60,0.00698710267436781,5.13897325632194e-4,0.007501,0.00691563912130808,0.9930128973256321,0.9178458130315447
61,0.00770613707264375,5.67862927356249e-4,0.008274,0.00761908702383771,0.9922938629273562,0.9107727673847714
62,0.00842500187190953,6.18998128090475e-4,0.009044,0.00832131173358728,0.9915749981280905,0.9030995051146705
63,0.00921406653774421,6.76933462255794e-4,0.009891,0.00909011931584532,0.9907859334622557,0.8947782861843401
64,0.0100522163371381,7.39783662861874e-4,0.010792,0.00990452766502129,0.9899477836628618,0.8857837812778414
65,0.0109905039559941,8.04496044005932e-4,0.011795,0.0108150126247389,0.9890094960440059,0.8760485711255519
66,0.0120749009214355,8.77099078564487e-4,0.012952,0.0118648389367148,0.9879250990785645,0.8654703714268457
67,0.0132323635575577,9.56636442442304e-4,0.014189,0.0129814800125344,0.9867676364424423,0.8540181528238311
68,0.0144646456266083,0.00103835437339171,0.015503,0.0141672018290041,0.9855353543733917,0.8416650828845438
69,0.0158503882516589,0.00113261174834111,0.016983,0.0154951786800953,0.9841496117483411,0.8283243645429591
70,0.0174030307043724,0.00124896929562762,0.018652,0.016973433243554,0.9825969692956276,0.8139090101936381
71,0.019203825279225,0.00135817472077501,0.020562,0.0186888583280808,0.980796174720775,0.7982788437686925
72,0.0212689880589047,0.00149701194109533,0.022766,0.0206411649508957,0.9787310119410954,0.7813002605729
73,0.0236476561951603,0.00165934380483974,0.025307,0.0228751133288408,0.9763523438048397,0.7628243406256829
74,0.0264889566844112,0.00184504331558881,0.028334,0.0255284359754981,0.9735110433155888,0.7426179197090347
75,0.0297618239656829,0.00206317603431707,0.031825,0.0285575214852705,0.9702381760343171,0.7205162559088927
76,0.0335184825597733,0.00231551744022673,0.035834,0.0319999057335172,0.9664815174402267,0.6963656443511773
77,0.0378472025300653,0.00261779746993468,0.040465,0.0359141895649688,0.9621527974699347,0.6700101527744389
78,0.0427050815847391,0.00293791841526093,0.045643,0.0402646160023773,0.9572949184152609,0.641397314537603
79,0.0481025064478175,0.00330349355218253,0.051406,0.045022170317893,0.9518974935521824,0.610544496079445
80,0.0539895026363414,0.00370649736365862,0.057696,0.0501251041348687,0.9460104973636586,0.5775815023987602
81,0.0604579792459501,0.0041520207540499,0.06461,0.0556307040128651,0.9395420207540499,0.5426620919138913
82,0.0677346409349351,0.00465335906506486,0.072388,0.0617018145106924,0.9322653590650649,0.5059050699691031
83,0.0759251294047145,0.00520387059528555,0.081129,0.0684017601541355,0.9240748705952855,0.4674941620651978
84,0.0851573079134176,0.00582969208658244,0.090987,0.0757596027980398,0.9148426920865824,0.4276836177584866
85,0.0951634167349791,0.00647258326502087,0.101636,0.0835732225806308,0.9048365832650209,0.38698378341101225
86,0.105601515779221,0.00716148422077886,0.112763,0.0914623772686831,0.89439848422077906,0.34611770930083163
87,0.117030164477596,0.00787983552240364,0.12491,0.0999041081937188,0.882969835522404,0.3056114968527466
88,0.129267723866285,0.00876327613371516,0.138031,0.108402119737127,0.8707322761337151,0.26610579426722375
89,0.152489,NA,0.152489,NA,0.847511,0.22552758780520907
90,0.168478,NA,0.168478,NA,0.831522,0.18753115086696306
91,0.184358,NA,0.184358,NA,0.815642,0.15295828295543148
92,0.201508,NA,0.201508,NA,0.798492,0.1221359652736484
93,0.219478,NA,0.219478,NA,0.7805219999999999,0.09532980788731858
94,0.238045,NA,0.238045,NA,0.7619549999999999,0.07263702376878182
95,0.257967,NA,0.257967,NA,0.7420329999999999,0.05389906865822048
96,0.278455,NA,0.278455,NA,0.721545,0.03889060349499569
97,0.300155,NA,0.300155,NA,0.699845,0.027217394402955262
98,0.323127,NA,0.323127,NA,0.6768730000000001,0.01842271940171154
99,0.346523,NA,0.346523,NA,0.653477,0.01203882340647225
100,0.370973,NA,0.370973,NA,0.629027,0.0075727449709030205
101,0.395588,NA,0.395588,NA,0.604412,0.004577057933353436
102,0.4198,NA,0.4198,NA,0.5802,0.0026556090129316637
103,0.444591,NA,0.444591,NA,0.555409,0.0014749491462633625
104,0.469816,NA,0.469816,NA,0.530184,7.819944381624945e-4
105,0.495312,NA,0.495312,NA,0.504688,3.9466320900735305e-4
106,0.520918,NA,0.520918,NA,0.479082,1.8907603949766072e-4
107,0.54666,NA,0.54666,NA,0.45333999999999997,8.57157317458695e-5
108,0.572585,NA,0.572585,NA,0.427415,3.663618948416082e-5
109,0.598546,NA,0.598546,NA,0.401454,1.4707744813174296e-5
110,0.624392,NA,0.624392,NA,0.37560800000000005,5.524346613786772e-6
111,0.654399,NA,0.654399,NA,0.34560100000000005,1.9092197140713223e-6
112,0.684243,NA,0.684243,NA,0.31575699999999995,6.028494892560184e-7
113,0.713887,NA,0.713887,NA,0.28611299999999995,1.7248307591950715e-7
114,0.743294,NA,0.743294,NA,0.256706,4.4277440486993005e-8
115,0.772428,NA,0.772428,NA,0.227572,1.0076305686505971e-8
116,0.801414,NA,0.801414,NA,0.19858600000000004,2.001013241060475e-9
117,0.830399,NA,0.830399,NA,0.169601,3.3937384669709767e-10
118,0.859385,NA,0.859385,NA,0.14061500000000005,4.77210534533124e-11
119,0.888371,NA,0.888371,NA,0.11162899999999998,5.327053475939809e-12
120,1,NA,1,NA,0,0
